user_id,reference_time,historical_clicks,recent_clicks,historical_categories,recent_categories,shift_score
U10022,2019-11-12 11:15:25,3,2,"['lifestyle', 'news', 'sports']","['music', 'tv']",1.0
U10022,2019-11-14 10:55:37,6,2,"['music', 'news', 'lifestyle', 'sports', 'tv']","['news', 'sports']",0.6
U10022,2019-11-14 18:59:39,7,2,"['music', 'news', 'lifestyle', 'sports', 'tv']","['news', 'music']",0.6
U10027,2019-11-14 05:32:02,8,2,"['lifestyle', 'finance', 'health', 'news']","['news', 'movies']",0.8
U10027,2019-11-14 05:32:02,8,3,"['lifestyle', 'finance', 'health', 'news']","['news', 'movies', 'finance']",0.6
U10027,2019-11-14 05:32:02,8,4,"['lifestyle', 'finance', 'health', 'news']","['news', 'movies', 'finance']",0.6
U10027,2019-11-14 11:18:32,8,5,"['lifestyle', 'finance', 'health', 'news']","['news', 'movies', 'travel', 'finance']",0.6666666666666667
U10027,2019-11-14 11:18:32,8,6,"['lifestyle', 'finance', 'health', 'news']","['news', 'movies', 'travel', 'finance']",0.6666666666666667
U10027,2019-11-14 11:18:32,8,7,"['lifestyle', 'finance', 'health', 'news']","['news', 'movies', 'travel', 'finance']",0.6666666666666667
U10027,2019-11-14 11:18:32,8,8,"['lifestyle', 'finance', 'health', 'news']","['news', 'movies', 'travel', 'finance']",0.6666666666666667
U10027,2019-11-14 11:18:32,8,9,"['lifestyle', 'finance', 'health', 'news']","['autos', 'travel', 'news', 'finance', 'movies']",0.7142857142857143
U10032,2019-11-14 05:46:24,5,2,"['music', 'sports', 'tv']","['finance', 'music']",0.75
U10032,2019-11-14 05:46:24,5,3,"['music', 'sports', 'tv']","['finance', 'music']",0.75
U10052,2019-11-10 07:03:16,3,2,"['finance', 'entertainment', 'news']",['news'],0.6666666666666667
U10052,2019-11-10 07:03:16,3,3,"['finance', 'entertainment', 'news']",['news'],0.6666666666666667
U10062,2019-11-11 11:40:31,6,2,"['news', 'music', 'sports', 'tv']","['news', 'music']",0.5
U10062,2019-11-11 18:46:09,7,3,"['news', 'music', 'sports', 'tv']","['finance', 'music', 'tv']",0.6
U10062,2019-11-11 18:46:09,7,4,"['news', 'music', 'sports', 'tv']","['finance', 'music', 'tv']",0.6
U10062,2019-11-12 16:23:14,10,6,"['music', 'finance', 'news', 'sports', 'tv']","['lifestyle', 'news', 'music']",0.6666666666666667
U10062,2019-11-12 16:23:14,10,7,"['music', 'finance', 'news', 'sports', 'tv']","['lifestyle', 'news', 'music']",0.6666666666666667
U10062,2019-11-12 16:23:14,10,8,"['music', 'finance', 'news', 'sports', 'tv']","['lifestyle', 'news', 'music']",0.6666666666666667
U10062,2019-11-12 16:23:14,10,9,"['music', 'finance', 'news', 'sports', 'tv']","['travel', 'lifestyle', 'news', 'music']",0.7142857142857143
U10062,2019-11-12 16:23:14,10,10,"['music', 'finance', 'news', 'sports', 'tv']","['travel', 'lifestyle', 'news', 'music']",0.7142857142857143
U10062,2019-11-13 07:39:17,14,7,"['music', 'finance', 'news', 'sports', 'tv']","['lifestyle', 'news', 'travel']",0.8571428571428572
U10062,2019-11-13 09:03:05,16,6,"['music', 'finance', 'news', 'lifestyle', 'sports', 'tv']","['lifestyle', 'news', 'travel']",0.7142857142857143
U10062,2019-11-13 11:03:02,16,7,"['music', 'finance', 'news', 'lifestyle', 'sports', 'tv']","['lifestyle', 'news', 'travel']",0.7142857142857143
U10062,2019-11-13 11:03:02,16,8,"['music', 'finance', 'news', 'lifestyle', 'sports', 'tv']","['lifestyle', 'news', 'travel']",0.7142857142857143
U10064,2019-11-12 15:19:27,5,2,"['news', 'movies']","['finance', 'news']",0.6666666666666667
U10070,2019-11-14 17:26:22,6,2,"['finance', 'travel', 'health', 'tv']","['weather', 'tv']",0.8
U10070,2019-11-14 17:26:22,6,3,"['finance', 'travel', 'health', 'tv']","['lifestyle', 'weather', 'tv']",0.8333333333333334
U10070,2019-11-14 20:26:51,6,4,"['finance', 'travel', 'health', 'tv']","['lifestyle', 'weather', 'foodanddrink', 'tv']",0.8571428571428572
U10070,2019-11-14 20:26:51,6,5,"['finance', 'travel', 'health', 'tv']","['lifestyle', 'weather', 'foodanddrink', 'tv']",0.8571428571428572
U10070,2019-11-14 20:26:51,6,6,"['finance', 'travel', 'health', 'tv']","['lifestyle', 'weather', 'foodanddrink', 'tv']",0.8571428571428572
U10072,2019-11-14 09:56:08,3,3,"['news', 'entertainment', 'sports']","['lifestyle', 'foodanddrink']",1.0
U10072,2019-11-14 14:21:28,6,2,"['entertainment', 'news', 'lifestyle', 'sports', 'foodanddrink']","['finance', 'health']",1.0
U10096,2019-11-12 13:04:29,5,3,"['news', 'sports', 'finance']","['lifestyle', 'news', 'tv']",0.8
U10096,2019-11-12 13:24:52,5,4,"['news', 'sports', 'finance']","['lifestyle', 'news', 'finance', 'tv']",0.6
U10096,2019-11-12 13:53:57,5,5,"['news', 'sports', 'finance']","['lifestyle', 'news', 'finance', 'tv']",0.6
